"tract","Name","Poverty_Rate_in_2012-16"
24510010100,"Canton, Baltimore, MD",0.1047
24510130600,"Hampden, Baltimore, MD",0.1043
24510261100,"Canton, Baltimore, MD",0.104
24005400600,"Catonsville, MD",0.1036
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.1027
24005402403,"Gwynn Oak, Baltimore, MD",0.1025
24005492300,"Essex, MD",0.1024
24510272004,"Cheswolde, Baltimore, MD",0.1015
24005450100,"Rosedale, MD",0.1014
24005440701,"Rosedale, MD",0.1013
24005420701,"Dundalk, MD",0.1012
24005492600,"Parkville, MD",0.1012
24510020100,"Upper Fells Point, Baltimore, MD",0.1002
24005452500,"Dundalk, MD",0.099
24003730204,"Glen Burnie, MD",0.0984
24510270402,"Glenham-Belford, Baltimore, MD",0.0976
24510271400,"Evergreen, Baltimore, MD",0.0975
24510270200,"Lauraville, Baltimore, MD",0.0971
24005491600,"Parkville, MD",0.0948
24005411407,"Parkville, MD",0.0944
24003751102,"Glen Burnie, MD",0.0941
24510230300,"South Baltimore, Baltimore, MD",0.0935
24510130803,"Medfield, Baltimore, MD",0.0912
24510270902,"Perring Loch, Baltimore, MD",0.0899
24510270102,"Waltherson, Baltimore, MD",0.0892
24005492002,"Parkville, MD",0.0887
24005420402,"Dundalk, MD",0.0876
24005491701,"Parkville, MD",0.0869
24005492101,"Parkville, MD",0.0868
24003750900,"Glen Burnie, MD",0.0863
24005490703,"Towson, MD",0.0856
24510280402,"Rognel Heights, Baltimore, MD",0.0848
24005420500,"Baltimore, MD",0.0837
24003751200,"Linthicum Heights, MD",0.0821
24510270703,"North Harford Road, Baltimore, MD",0.0819
24005430800,"Halethorpe, MD",0.0807
24005452300,"Baltimore, MD",0.0804
24510020300,"Fells Point, Baltimore, MD",0.0802
24510271501,"Mount Washington, Baltimore, MD",0.0799
24510260900,"Baltimore, MD",0.0797
24510010500,"Upper Fells Point, Baltimore, MD",0.0782
24005451200,"Middle River, MD",0.0775
24005401200,"Woodlawn, MD",0.0775
24510240300,"Riverside, Baltimore, MD",0.0767
24005492200,"Parkville, MD",0.0766
24003751103,"Glen Burnie, MD",0.0747
24005403602,"Baltimore, MD",0.0726
24005403201,"Gwynn Oak, Lochearn, MD",0.0717
24005440900,"Rosedale, MD",0.071
24510230200,"South Baltimore, Baltimore, MD",0.0703
24005411408,"Nottingham, MD",0.0702
24510280403,"Westgate, Baltimore, MD",0.0694
24005491100,"Baltimore, MD",0.0694
24005491900,"Parkville, MD",0.0691
24510270501,"Woodring, Baltimore, MD",0.0678
24005420100,"Dundalk, MD",0.0677
24005403401,"Pikesville, MD",0.0669
24005440100,"Baltimore, MD",0.0662
24027601201,"Elkridge, MD",0.0657
24005400100,"Catonsville, MD",0.0654
24005401302,"Gwynn Oak, Baltimore, MD",0.0651
24005440800,"Rosedale, MD",0.0647
24005441101,"Rosedale, MD",0.0643
24510271300,"Roland Park, Baltimore, MD",0.0627
24005420200,"Dundalk, MD",0.0624
24510271200,"Homeland, Baltimore, MD",0.0621
24005411306,"Nottingham, MD",0.0613
